index,IRR,Lower_CI_exp,Upper_CI_exp
admission_age,0.98,0.98,0.98
sex_female,1.02,0.96,1.09
eng_prof,0.42,0.39,0.46
private_insurance,0.79,0.75,0.85
adm_elective,0.76,0.68,0.84
major_surgery,1.32,1.23,1.41
charlson_comorbidity_index,1.02,1.01,1.04
SOFA,1.16,1.15,1.17
hypertension_present,1.06,0.99,1.14
heart_failure_present,1.2,1.12,1.28
copd_present,1.01,0.94,1.09
asthma_present,0.91,0.68,1.22
cad_present,1.23,1.15,1.32
ckd_stages,0.95,0.93,0.98
fluids_volume_norm_by_los_icu,1.0,1.0,1.0
pneumonia,0.98,0.84,1.15
uti,0.39,0.23,0.68
biliary,1.1,0.63,1.91
skin,0.89,0.42,1.85
Asian,0.59,0.5,0.71
Black,0.97,0.88,1.08
Hispanic,0.56,0.47,0.65
2011 - 2013,1.05,0.97,1.14
2014 - 2016,1.17,1.07,1.26
2017 - 2019,1.49,1.36,1.63
