,mortality_in,los_icu_hours,mech_vent_overall_yes,rrt_overall_yes,vasopressor_overall_yes,transfusion_overall_yes,fluids_overall_yes
0-2 Black,0.10514372163388805,274.38174483106474,0.3691376701966717,0.14674735249621784,0.3804841149773071,0.1800302571860817,0.17851739788199697
0-2 White,0.1036734693877551,222.54672278911622,0.35214285714285715,0.07173469387755102,0.4144897959183673,0.12846938775510205,0.12836734693877552
2-4 Black,0.1455767077267637,252.03684210526336,0.3908174692049272,0.1366181410974244,0.46472564389697646,0.1601343784994401,0.22732362821948487
2-4 White,0.1465355128019673,228.54158831187655,0.37465644438015333,0.07015767394763489,0.49269492260957615,0.1228120931578186,0.13163604802545928
4-6 Black,0.18210862619808307,268.250319488818,0.48562300319488816,0.0926517571884984,0.549520766773163,0.22044728434504793,0.2108626198083067
4-6 White,0.19469026548672566,221.83553901850414,0.42920353982300885,0.07119871279163315,0.5796460176991151,0.13958165728077232,0.1246983105390185
>6 Black,0.3496143958868895,317.5988431876604,0.6606683804627249,0.17223650385604114,0.712082262210797,0.2365038560411311,0.21079691516709512
>6 White,0.3759929390997352,237.13538540747243,0.6301853486319505,0.1707855251544572,0.7188879082082965,0.20741394527802295,0.12709620476610767
All Black,0.15838189921151868,272.64650897040315,0.4271511827219746,0.14124100102845388,0.46863215632499144,0.18580733630442234,0.20123414466918066
All White,0.15676682972280456,225.9351417035455,0.3976706266014442,0.08162124388539482,0.49093873747961797,0.13626834381551362,0.12886093640810622
